Ambient Temperature,Ambient Humidity,Light Intensity (PAR),Phi2,vH+,Relative Chlorophyll,Thickness,Leaf Angle,Leaf Temperature Differential
33.34,60.026,488.986,0.505,0.17600000000000002,38.63,0.69,6.364,-6.13
33.32,60.567,476.323,0.511,0.182,37.76,0.98,1.404,-4.47
32.93,62.09,1469.961,0.359,0.277,38.34,0.63,8.621,-2.93
33.14,62.14100000000001,1067.472,0.424,0.289,37.78,0.52,16.768,-2.74
33.29,62.614,336.781,0.5379999999999999,0.133,41.36,0.51,13.585,-4.1
33.4,63.328,693.4939999999998,0.477,0.202,37.91,1.36,34.233000000000004,-4.29
34.2,60.395,859.6469999999998,0.47,0.18600000000000005,36.09,0.82,12.857,-5.05
34.28,61.216,576.5419999999998,0.468,0.187,41.07,0.7,6.693,-5.79
34.33,61.654,529.307,0.494,0.161,36.95,0.64,34.067,-5.66
34.32,59.776,453.086,0.499,0.14300000000000002,34.77,0.83,12.412,-6.47
33.11,64.583,1139.811,0.411,0.206,35.63,0.11,47.03100000000001,-6.72
33.15,65.131,690.6669999999998,0.4320000000000001,0.182,34.7,0.3,89.82600000000002,-5.48
32.98,61.575,1159.505,0.409,0.199,36.96,0.76,84.485,-6.37
33.96,59.297,617.149,0.466,0.139,38.09,0.29,36.186,-7.11
33.77,58.928,1616.59,0.397,0.265,35.43,0.35,24.93,-6.87
33.74,61.37600000000001,321.1620000000001,0.545,0.085,31.25,0.25,32.626999999999995,-4.37
33.06,60.267,1002.83,0.431,0.188,33.15,0.21,92.262,-6.27
32.97,65.072,1137.714,0.412,0.21600000000000005,34.64,0.15,64.594,-5.68
33.08,63.959,1539.7620000000004,0.399,0.292,34.63,0.38,22.233,-4.51
33.06,60.3,1449.61,0.387,0.247,34.72,0.11,28.828000000000007,-5.21
33.04,60.729,531.911,0.468,0.14300000000000002,29.69,0.27,20.183,-5.05
33.09,62.278,980.796,0.433,0.188,33.42,0.22,22.848000000000006,-4.04
30.18,64.55199999999999,332.88699999999994,0.521,0.107,35.69,0.16,19.069000000000006,-4.95
29.72,62.71,214.122,0.586,0.065,38.66,0.66,12.021,-4.92
29.61,62.971,207.957,0.5489999999999999,0.097,35.38,0.68,12.378,-5.94
29.57,63.502,203.569,0.598,0.079,39.84,0.92,6.95,-5.68
